abstract,analytical_method_development,article_name,assay_development,authors,center,center_pub,comments,created_at,data_analysis,data_generation,data_integration,data_standards,doi,issue,journal_name,other_link,pm_id,pmc_id,pp_pages,publication_id,resource_links,review,scopus_citations,show_at_home_order,signature_generation,software_development,updated_at,volume,year_published,PMCID,citations,n_citations,citation_years,YEAR,Proteomics,Microenvironment,DCIC,Drug Toxicity,HMS,Transcriptomics,NeuroLINCS
"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,"Sorger PK, Gujral TS, Chan M, Peshkin L, Kirschner MW, MacBeath G",,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,25417160.0,PMC4243058,844-56,2.0,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,PMC4243058,"['4876240', '5118537', '5844802', '5768103', '5444923', '4621199', '5768065', '4991449', '4729931', '4963810', '5040981', '5992212', '5603593', '4864275', '4990228', '5540272', '5394761', '4306915', '5658260', '4404388', '4792562', '5934344', '4302087', '5522271', '5377948', '5923294', '5701508', '5590807', '5831789', '5742819', '5584342', '5357762', '5354754', '4941381', '5983605', '4741452', '4652136', '4647640', '4490239', '4450756', '4399089', '5531485', '4330785', '5859474', '4947105', '5011664', '4671804', '4982242', '5251273', '5248601', '5816634', '5173114', '5006452', '4872391', '4812680', '5519134', '5561898', '5796257', '5201118', '4751232', '5908114', '5928365', '4506581', '5882567', '5373387', '5863838', '5663700']",67.0,"[0, 2016, 2017, 2017, 0, 2015, 2017, 2016, 2016, 2016, 2016, 2018, 2017, 2016, 2016, 2017, 0, 2015, 2017, 2015, 2015, 2017, 0, 2017, 2017, 2018, 2017, 2017, 2018, 2017, 2017, 2016, 2016, 2016, 2018, 2015, 2015, 2015, 2015, 2015, 2015, 2017, 2015, 2018, 2016, 2016, 2015, 2016, 2017, 2016, 2018, 2016, 2016, 0, 2015, 2016, 0, 2018, 2016, 2015, 2018, 2018, 2015, 2018, 2017, 2018, 2017]",0.0,0,0,0,0,0,0,0
"Recipes for generating pure populations of specific cell types are undergoing rapid development for a diversity of applications, from cell therapies to disease modeling and drug screening. The main approaches used are differentiation of pluripotent stem cells, reprogramming of somatic cells to induced pluripotent stem cells and transdifferentiation of one type of somatic cell to another.",0.0,A blueprint of cell identity.,0.0,"Ma'ayan A, Duan Q",,1.0,,5/19/16 18:33,0.0,0.0,1.0,0.0,10.1038/nbt.3035,10,Nature Biotechnology,,25299921.0,PMC4274604,1007-8,9.0,"{\Review of CellNet (non-LINCS tool)\"":\""http://cellnet.hms.harvard.edu/\""}""",1.0,,,0.0,0.0,5/19/16 18:33,32,2014.0,PMC4274604,[],0.0,,0.0,0,0,1,0,0,0,0
"The ribosome is centrally situated to sense metabolic states, but whether its activity, in turn, coherently rewires transcriptional responses is unknown. Here, through integrated chemical-genetic analyses, we found that a dominant transcriptional effect of blocking protein translation in cancer cells was inactivation of heat shock factor 1 (HSF1), a multifaceted transcriptional regulator of the heat-shock response and many other cellular processes essential for anabolic metabolism, cellular proliferation, and tumorigenesis. These analyses linked translational flux to the regulation of HSF1 transcriptional activity and to the modulation of energy metabolism. Targeting this link with translation initiation inhibitors such as rocaglates deprived cancer cells of their energy and chaperone armamentarium and selectively impaired the proliferation of both malignant and premalignant cells with early-stage oncogenic lesions.",0.0,Tight coordination of protein translation and HSF1 activation supports the anabolic malignant state.,0.0,"Subramanian A, Golub TR, Narayan R, Santagata S, Mendillo ML, Tang YC, Perley CC, Roche SP, Wong B, Kwon H, Koeva M, Amon A, Porco JA Jr, Whitesell L, Lindquist S",,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1126/science,6134,Science,,23869022.0,PMC3959726,1238303,31.0,"{\KS Query\"":null}""",0.0,,,0.0,0.0,5/19/16 18:33,341,2013.0,PMC3959726,"['4551903', '6014687', '5207260', '4946961', '4529871', '4389858', '5240723', '5718051', '5239523', '4090731', '5110993', '5346251', '5696061', '5794010', '4874259', '4998994', '6082694', '4705825', '5668566', '4339117', '5573693', '4846947', '4249939', '4279396', '4724570', '4304436', '4117199', '4019067', '3916389', '3991730', '5311928', '4560410', '5557961', '4236052', '4620912', '4178206', '4604343', '5618627', '4830906', '3958739', '3938031', '4275421', '5710874', '4164949', '5378169', '4091845', '4694825', '4401662', '5672919', '4815038', '4730247', '5690379', '5066613', '5589569', '5896248', '4891198', '5204264', '4526315', '5470990', '6030489', '4749566', '4722819', '4435066', '5007788', '4536274', '4013484', '4834551', '6001142', '4740292', '6035735', '5732156', '5650314', '5717525', '4741975', '5350514']",75.0,"[2015, 2016, 2016, 2016, 2015, 2014, 2016, 0, 2016, 2014, 0, 2017, 2017, 2017, 2015, 2016, 2018, 2014, 2017, 2014, 2017, 2016, 0, 2014, 2015, 2014, 0, 0, 2014, 2013, 0, 2015, 2017, 2014, 2015, 2013, 0, 2017, 2015, 0, 2014, 2014, 2017, 0, 0, 2014, 2015, 0, 2016, 2016, 2016, 2017, 0, 2017, 0, 2015, 0, 2015, 2017, 2018, 2015, 2015, 2014, 2016, 2015, 2014, 2016, 2018, 2015, 2018, 2017, 2017, 2017, 2015, 0]",0.0,0,0,0,0,0,0,0
,0.0,A fluorescent colorimetric pH sensor and the influences of matrices on sensing performances.,1.0,"Tian Y, Fuller E, Klug S, Lee F, Su F, Zhang L, Chao S, Meldrum D",,1.0,,5/19/16 18:33,0.0,0.0,0.0,0.0,,,"Sensors and Actuators B, Chemical",,24078772.0,PMC3782379,10-Jan,36.0,,0.0,,,0.0,0.0,5/19/16 18:33,188,2013.0,PMC3782379,"['5368665', '5847514', '5049506']",3.0,"[2017, 2018, 2016]",0.0,0,0,0,0,0,0,0
,0.0,Discovery of potent and selective covalent inhibitors of JNK.,0.0,"Niepel M, Zhang T, Gray NS, Sorger PK, Xie T, Inesta-Vaquera F, Zhang J, Ficarro SB, Machleidt T, Marto JA, Kim N, Sim T, Laughlin JD, Park H, Lograsso PV, Patricelli M, Nomanbhoy TK, Alessi DR",,1.0,,5/19/16 18:33,0.0,1.0,0.0,0.0,10.1016/j.chembiol.2011.11.010,1,Chemistry and Biology,,22284361.0,PMC3270411,140-54,41.0,,0.0,,,0.0,0.0,5/19/16 18:33,19,2012.0,PMC3270411,"['4291693', '4008716', '4453441', '4613535', '5557760', '4358782', '3769325', '4200237', '3988118', '4112157', '4068218', '5558834', '5622097', '5995952', '3583020', '5711519', '4777322', '5537611', '4897785', '5568468', '3914205', '5908086', '4165445', '4454794', '6068087', '4751440', '4847818', '5565712', '3863340', '4891091', '5033074', '4681596', '4919545', '6071746', '4203547', '4604346', '3874694', '4914245', '5960613', '5829542', '5491784', '5460469', '4653046', '4794343', '5559384', '5393398', '4494910', '4292808', '5372219', '5012007', '5341796', '3936289', '5978689', '5739608', '5321524', '5790440', '5652791', '5308545', '5192081', '5007788', '4380931', '4156535', '3874787', '3990471', '5935912', '6062112', '4749442', '5363763']",68.0,"[2014, 2014, 2014, 2015, 2017, 2013, 2013, 2014, 2013, 2014, 2014, 2017, 2017, 2018, 0, 0, 2015, 2017, 2016, 2017, 2013, 2018, 2014, 2015, 2018, 2016, 2015, 2017, 0, 2016, 2016, 2015, 2016, 2017, 2014, 0, 2013, 2016, 2018, 2018, 2017, 2017, 2015, 2016, 2017, 2017, 2015, 2014, 2016, 2016, 2016, 2014, 2018, 2017, 2016, 2017, 2017, 2016, 2016, 2016, 2015, 2014, 0, 2014, 2018, 2018, 2016, 2017]",0.0,0,0,0,0,0,0,0
"With advances in genomics, transcriptomics, metabolomics and proteomics, and more expansive electronic clinical record monitoring, as well as advances in computation, we have entered the Big Data era in biomedical research. Data gathering is growing rapidly while only a small fraction of this data is converted to useful knowledge or reused in future studies. To improve this, an important concept that is often overlooked is data abstraction. To fuse and reuse biomedical datasets from diverse resources, data abstraction is frequently required. Here we summarize some of the major Big Data biomedical research resources for genomics, proteomics and phenotype data, collected from mammalian cells, tissues and organisms. We then suggest simple data abstraction methods for fusing this diverse but related data. Finally, we demonstrate examples of the potential utility of such data integration efforts, while warning about the inherit biases that exist within such data.",0.0,"Abstraction for data integration: Fusing mammalian molecular, cellular and phenotype big datasets for better knowledge extraction.",0.0,"Wang Z, Rouillard AD, Ma’ayan A",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,,,Computational Biology and Chemistry,,26101093.0,PMC4675694,123-38,45.0,,1.0,,,0.0,0.0,5/19/16 18:33,59 Pt B,2015.0,PMC4675694,[],0.0,,0.0,0,0,1,0,0,0,0
"Gene set analysis of differential expression, which identifies collectively differentially expressed gene sets, has become an important tool for biology. The power of this approach lies in its reduction of the dimensionality of the statistical problem and its incorporation of biological interpretation by construction. Many approaches to gene set analysis have been proposed, but benchmarking their performance in the setting of real biological data is difficult due to the lack of a gold standard. In a previously published work we proposed a geometrical approach to differential expression which performed highly in benchmarking tests and compared well to the most popular methods of differential gene expression. As reported, this approach has a natural extension to gene set analysis which we call Principal Angle Enrichment Analysis (PAEA). PAEA employs dimensionality reduction and a multivariate approach for gene set enrichment analysis. However, the performance of this method has not been assessed nor its implementation as a web-based tool. Here we describe new benchmarking protocols for gene set analysis methods and find that PAEA performs highly. The PAEA method is implemented as a user-friendly web-based tool, which contains 70 gene set libraries and is freely available to the community.",1.0,Principal Angle Enrichment Analysis (PAEA): Dimensionally reduced multivariate gene set enrichment analysis tool.,0.0,"Wang Z, Monteiro CD, Jones MR, Clark NR, Ma’ayan A, Szymkiewicz M",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,,,Proceedings (IEEE Int Conf Bioinformatics Biomed),,26848405.0,PMC4737646,256-262,47.0,"{\Principal Angle Enrichment Analysis (PAEA)\"":\""http://amp.pharm.mssm.edu/PAEA/\""}""",0.0,,,0.0,1.0,5/19/16 18:33,2015,2015.0,PMC4737646,"['5438638', '5827688', '4965635', '5013261', '5111283', '4987924']",6.0,"[2017, 2018, 2016, 2016, 2016, 2016]",0.0,0,0,1,0,0,0,0
,0.0,"Systems pharmacology meets predictive, preventive, personalized and participatory medicine. ",0.0,"Ma'ayan A, Jenkins SL",,1.0,,6/22/16 0:00,0.0,0.0,0.0,0.0,10.2217/pgs.12.186,2,Pharmacogenomics,,23327571.0,PMC3605723,119-22,61.0,,1.0,,,0.0,0.0,,14,2013.0,PMC3605723,"['4917453', '3726329', '3615534', '4086130', '4215795', '4474169', '3857660', '4211310', '4153537']",9.0,"[2016, 2013, 2013, 2014, 2014, 2014, 2013, 2014, 2014]",0.0,0,0,0,0,0,0,0
"The cellular composition of a tumor greatly influences the growth, spread, immune activity, drug response, and other aspects of the disease. Tumor cells are usually comprised of a heterogeneous mixture of subclones, each of which could contain their own distinct character. The presence of minor subclones poses a serious health risk for patients as any one of them could harbor a fitness advantage with respect to the current treatment regimen, fueling resistance. It is therefore vital to accurately assess the make-up of cell states within a tumor biopsy. Transcriptome-wide assays from RNA sequencing provide key data from which cell state signatures can be detected. However, the challenge is to find them within samples containing mixtures of cell types of unknown proportions. We propose a novel one-class method based on logistic regression and show that its performance is competitive to two established SVM-based methods for this detection task. We demonstrate that one-class models are able to identify specific cell types in heterogeneous cell populations better than their binary predictor counterparts. We derive one-class predictors for the major breast and bladder subtypes and reaffirm the connection between these two tissues. In addition, we use a one-class predictor to quantitatively associate an embryonic stem cell signature with an aggressive breast cancer subtype that reveals shared stemness pathways potentially important for treatment.",1.0,One-class detection of cell states in tumor subtypes.,0.0,"Sokolov A, Paull EO, Stuart JM",,1.0,,6/22/16 0:00,1.0,0.0,0.0,0.0,10.1142/9789814749411_0037,,Pacific Symposium on Biocomputing,,26776204.0,PMC4856035,405-16,64.0,,0.0,,,0.0,0.0,,21,2016.0,PMC4856035,"['5486920', '5333429', '5966039', '5902191']",4.0,"[2016, 2017, 2018, 0]",0.0,0,0,0,0,1,0,0
"Unbiased discovery approaches have the potential to uncover neurobiological insights into CNS disease and lead to the development of therapies. Here, we review lessons learned from imaging-based screening approaches and recent advances in these areas, including powerful new computational tools to synthesize complex data into more useful knowledge that can reliably guide future research and development.",0.0,Cell-based screening: extracting meaning from complex data.,0.0,"Finkbeiner S, Frumkin M, Kassner PD",,1.0,,11/3/16 16:33,0.0,0.0,0.0,0.0,10.1016/j.neuron.2015.02.023,1,Neuron,,25856492.0,PMC445744,160-74,100.0,,1.0,,,0.0,0.0,,86,2015.0,PMC4457442,"['4803616', '4868344', '4809970', '5997490', '5292010', '6018996']",6.0,"[2016, 2015, 2016, 2017, 2016, 2016]",0.0,0,0,0,0,0,0,0
